	Код	Артикул	Номенклатура	Остаток организации	Цена	Единица измерения	Валюта
	00000017733		08861 Чорне структурне покриття.УКТ ЗЕД 2715000010			банка	
	00000017660		08873 Чорне структурне покриття.УКТ ЗЕД 3208101098			Штука	
	00000017817		08874 Сіре структурне покриття  (1кг).УКТ ЗЕД 3208101098			Штука	
	00000018644		08875 Біле структурне покриття 1кг/бут.УКТ ЗЕД 3208101098			банка	
	00000018688		08878 Спрей-змазка для контактів 312г  12*1кг.УКТ ЗЕД 3403990090			банка	
	00000018146		08881 Чорне покриття на водній основі.УКТ ЗЕД 3209100000			банка	
	00000018475		08882 Сіре структурне покриття на водній основі.УКТ ЗЕД 3209100000			банка	
	00000017972		08909 Мастика для внутр порожн 500мл.УКТ ЗЕД 3214109090			банка	
	00000018057		08919  Мастика для внутр.порожнин прозора  1л.УКТ ЗЕД 3214109090			Бутель	
	00000018248		08993 Пнев/піст.д/герм під туби і картр..УКТ ЗЕД 8467190000			Штука	
	00000017500		09019 Паста для відновлення та полірування металу 6*500мл.УКТ ЗЕД 3405901090			банка	
	00000017462		09374 Абразивна паста 1 Перфект-іт.УКТ ЗЕД 3405300090			Бутель	
	00000017650		09378 Чорний полірувальник д/пасти №3 150 мм.УКТ ЗЕД 3924900010			Штука	
	00000018494		09550 Оранж.полірувальник д/паст. №2 Перфек-іт ІІІ діам. 150мм.УКТ ЗЕД 3924900010			Штука	
	00000018686		09552 Оправка Hookit  діам.127мм.УКТ ЗЕД 8466102000			Штука	
	00000018180		09552 Оправка Hookit для різьбл. діам.127мм.УКТ ЗЕД 8466102000			Штука	
	00000018008		09560 Сухе проявочне покриття в картриджах.УКТ ЗЕД 3824909790			Штука	
	00000018679		09561 Червоний  аплікатор для сухого проявочного покриття.УКТ ЗЕД 3926909290			Штука	
	00000018110		09660 Серветки TRACK CLOTH.УКТ ЗЕД 6307103000			Штука	
	00000017594		09678 Валики поролонові для маскування прорізів 13мм*5м.УКТ ЗЕД 3916905000			Штука	
	00000017906		09678 Поролонові валики для отворів  13мм*50м.УКТ ЗЕД 3916905000			Штука	
	00000018730		0982111 Олово 25%Zn.УКТ ЗЕД 8003000000			кг	
	00000017901		09884 Оправка Ролок.УКТ ЗЕД 8466103800			Штука	
	00000018400		10-155-4150  Маскувальна плівка біла   4,0м*150м.УКТ ЗЕД 3920104000			Штука	
	00000018720		10-155-4812  Маскувальна плівка   4,8м*120м.УКТ ЗЕД 3920104000			Штука	
	00000018631		10-155-5810  Маскувальна плівка   5,8м*100м.УКТ ЗЕД 3920104000			Штука	
	00000018614		10-159-4050  Маскувальна плівка   4,0м*5,0м.УКТ ЗЕД 3920104000			Штука	
	00000018481		10-172-0633 Контурна стрічка синя 6мм*33м.УКТ ЗЕД 3919101200			Штука	
	00000017841		10350090 Фільтр ,Колад.УКТ ЗЕД 8421290000			Штука	
	00000018727		10350090 Фільтр для фарби 90 мкр Колад.УКТ ЗЕД 8421990000			Штука	
	00000018728		10350130 Фільтр для фарби 130 мкр  Колад.УКТ ЗЕД 9604000000			Штука	
	00000018797		10350280 Фільтр для фарби 280 мкр  Колад.УКТ ЗЕД 9604000000			Штука	
	00000018798		103505 Кільце для фільтра під  фарбу УКТ ЗЕД 4823200000			Штука	
	00000018675		1043 Нейлоновий одноразовий фільтр, призначений для фільтрації лакокрасок і фарб на водній основі.УК			Штука	
	00000018660		1043 Нейлоновий одноразовий фільтр, призначений для фільтрації лакокрасок і фарб на водній основі.УК			Штука	
	00000018310		1043 Фільтр, Колад.УКТ ЗЕД 8421290000			Штука	
	00000017464		1043/1045 Вкладка фільтруюча, Колад.УКТ ЗЕД 3926909790			Штука	
	00000018050		104409 Рукавички нітрілові, щільність 4,4 розмір 9.УКТ ЗЕД 4015190000			пара	
	00000018456		104410 Рукавички нітрілові, щільність 4,4 розмір 9.УКТ ЗЕД 4015190000			пара	
	00000018752		1045 Нейлон.однораз. фІльтр, призначений для фільтрації лакокрасок і фарб на водн.УКТ ЗЕД 8421290000			Штука	
	00000018678		1045 ФІльтр Колад.УКТ ЗЕД 8421290000			Штука	
	00000017845		105408 Рукавички нітрілові, щільність 5,4 розмір 8 ( 2шт).УКТ ЗЕД 4015190000			пара	
	00000018098		105409 Рукавички нітрілові, щільність 5,4 розмір 9 ( 2 шт  ).УКТ ЗЕД 4015190000			пара	
	00000018070		1061564 Фарбувальний пульверизатор Сатаджет Х 5500РП сопло 1,31мм з пластиковим бачком 0,6л.УКТ ЗЕД			Штука	
	00000018317		1061564 Фарбувальний пульверизатор Сатаджет Х 5500РП сопло 1,31мм з пластиковим бачком 0,6л.УКТ ЗЕД			Штука	
	00000018356		1061564 Фарбувальний пульверизатор Сатаджет Х 5500РП сопло 1,3мм  І з пластиковим бачком 0,6л.УКТ ЗЕ			Штука	
	00000018496		1061564 Фарбувальний пульверизатор Сатаджет Х 5500РП сопло 1,3мм  І з пластиковим бачком 0,6л.УКТ ЗЕ			Штука	
	00000018528		1061887 Фарбувальний пульверизатор Сатаджет Х 5500 ХВЛП сопло 1,3 мм І з пластиковим бачком 0,6л.УКТ			Штука	
	00000018357		1061887 Фарбувальний пульверизатор Сатаджет Х 5500 ХВЛП сопло 1,3 мм І з пластиковим бачком 0,6л.УКТ			Штука	
	00000018069		1061887 Фарбувальний пульверизатор Сатаджет Х 5500 ХВЛП сопло 1,3 мм І з пластиковим бачком 0,6л.УКТ			Штука	
	00000017459		1100 Протишумові вставки.УКТ ЗЕД 3926909790			Штука	
	00000018530		118471 Пл бач для піст с пл сит 125мк ЕМ 0,9 40ШТ.УКТ ЗЕД 8424900000			Пакунок	
	00000018437		125443 Пластиковий бачок 0,125л з системою швидкої зміни для пульв-рів САТАмініджет.УКТ ЗЕД 84249000			Штука	
	00000017948		125690 Набір з/ч Сата МінДжет 4ХВЛП 1,0ММ.УКТ ЗЕД 8424900000			Штука	
